Øvelsesnummer,URL på hjemmeside,URL på youtube
34.A1,,https://youtu.be/FvUnrm6W9bA
34.A2,,https://youtu.be/Id83s43YpTM
34.A3,,https://youtu.be/TqWkT7-A3YE
34.B1,,https://youtu.be/eHoQ_C7VIss
34.B2,,https://youtu.be/WBdgUOFho-w
34.B3,,https://youtu.be/TlGaeSPokJo
34.C1,,https://youtu.be/UKgjX2Ip6kY
34.C2,,https://youtu.be/WE1I_msO7GE
34.C3,,https://youtu.be/t6ifKHU14Vk
34.C4,,https://youtu.be/lXEFYnoOdC8
34.C5,,https://youtu.be/YnGdyFvzgrA
,,
35.B1,,https://youtu.be/W9MkH-c-NOI
35.B2,,https://youtu.be/aFRJ-iRNz-Y
35.B3,,https://youtu.be/6haDMe0c11g
35.B4,,https://youtu.be/BhpRh7_urs0
35.B5,,https://youtu.be/hrqCgD25u8s
35.B6,,https://youtu.be/CnOULixrA8Y
35.B7,,https://youtu.be/3xSXh97QAAM
35.B8,,https://youtu.be/Lgj6UTe3T7M
35.B9,,https://youtu.be/cfbtTpCTqMg
35.B10,,https://youtu.be/AQK2erh0cgQ
35.B11,,https://youtu.be/6SnMAv2i_mU
35.B12,,https://youtu.be/m1Yrt_rNn9g
35.B13,,https://youtu.be/j0lB0K87Lg0
,,
36.A1,,https://youtu.be/ZOz9pavhX2I
36.A2,,https://youtu.be/a_9gvA6FuHY
36.A3,,https://youtu.be/M3fzlI5UTeQ
36.A4,,https://youtu.be/4sLRmnx8l6M
36.A5,,https://youtu.be/Vgm2Ywibzu0
36.B1,,https://youtu.be/jTpQz89m3WY
36.B2,,https://youtu.be/g1pm8v60SW8
36.B3,,https://youtu.be/alJA1toq32U
36.B4,,https://youtu.be/Y5GY_VXdl2I
