Øvelsesnummer,URL på youtube, URL på hjemmeside
25.A3,https://youtu.be/qC9z2zUMv74,http://yubio.dk/booklinks.html?id=25_A3
25.A4,https://youtu.be/nXdj8Y9wMKE,http://yubio.dk/booklinks.html?id=25_A4
25.A5,https://youtu.be/1Wc-h8EmIS8,http://yubio.dk/booklinks.html?id=25_A5
25.A6,https://youtu.be/C99i4ziYKTY,http://yubio.dk/booklinks.html?id=25_A6
25.A7,https://youtu.be/mM7wcR_xOgA,http://yubio.dk/booklinks.html?id=25_A7
25.A8,https://youtu.be/sOXFCoxkjlA,http://yubio.dk/booklinks.html?id=25_A8
25.A9,https://youtu.be/uqeFNYNEOaw,http://yubio.dk/booklinks.html?id=25_A9
25.A10,https://youtu.be/2_qx9PQvQIc,http://yubio.dk/booklinks.html?id=25_A10
25.A11,https://youtu.be/kTIlrTPTgSY,http://yubio.dk/booklinks.html?id=25_A11
25.A12,https://youtu.be/TCKPzEChtlE,http://yubio.dk/booklinks.html?id=25_A12
25.A13,https://youtu.be/L6pFw4sgw6E,http://yubio.dk/booklinks.html?id=25_A13
25.A14,https://youtu.be/1L4i19z_SXY,http://yubio.dk/booklinks.html?id=25_A14
25.B1,https://youtu.be/aw8j4l_P5ho,http://yubio.dk/booklinks.html?id=25_B1
25.B2,https://youtu.be/NIB1xTp5XbU,http://yubio.dk/booklinks.html?id=25_B2
25.B3,https://youtu.be/3ens2Hsq_v8,http://yubio.dk/booklinks.html?id=25_B3
25.B4,https://youtu.be/SNs7dUGBxE8,http://yubio.dk/booklinks.html?id=25_B4
25.B5,https://youtu.be/9zGdOcq5xgA,http://yubio.dk/booklinks.html?id=25_B5
25.C1,https://youtu.be/iHPcmhShGf0,http://yubio.dk/booklinks.html?id=25_C1
25.C2,https://youtu.be/TXrFMP4DZP0,http://yubio.dk/booklinks.html?id=25_C2
25.C3,https://youtu.be/FZVD2alZUF8,http://yubio.dk/booklinks.html?id=25_C3
25.C4,https://youtu.be/Nu2Pfgwxa6k,http://yubio.dk/booklinks.html?id=25_C4
25.C5,https://youtu.be/WLNsdgY541k,http://yubio.dk/booklinks.html?id=25_C5
25.C6,https://youtu.be/iEPtRo1o3bE,http://yubio.dk/booklinks.html?id=25_C6
25.C7,https://youtu.be/l_HxuddZGrY,http://yubio.dk/booklinks.html?id=25_C7
25.C8,https://youtu.be/KOpT04EjNlY,http://yubio.dk/booklinks.html?id=25_C8
26. Balance,https://youtu.be/_YO_EVj-y_8,http://yubio.dk/booklinks.html?id=26__Balance
26. Jumps,https://youtu.be/Au2v9s4aoBg,http://yubio.dk/booklinks.html?id=26__Jumps
26. Rails,https://youtu.be/UfskN5uTiYA,http://yubio.dk/booklinks.html?id=26__Rails
26. Vaults,https://youtu.be/3xVQqx6lwVs,http://yubio.dk/booklinks.html?id=26__Vaults
26.B2,https://youtu.be/qKZQ2kwPcQk,http://yubio.dk/booklinks.html?id=26_B2
26.B3,https://youtu.be/SjN3VF-5rM0,http://yubio.dk/booklinks.html?id=26_B3
26.B4,https://youtu.be/s9ShfV6z8-w,http://yubio.dk/booklinks.html?id=26_B4
26.B5,https://youtu.be/l5grLJuovM4,http://yubio.dk/booklinks.html?id=26_B5
26.B6,https://youtu.be/lg2PrPSEdB8,http://yubio.dk/booklinks.html?id=26_B6
26.B7,https://youtu.be/JCtkQ1wqx_k,http://yubio.dk/booklinks.html?id=26_B7
26.B8,https://youtu.be/S0ucTlvJPS0,http://yubio.dk/booklinks.html?id=26_B8
26.B9,https://youtu.be/CRG6NCsWoZQ,http://yubio.dk/booklinks.html?id=26_B9
26.B10,https://youtu.be/cNBG7vXfdOE,http://yubio.dk/booklinks.html?id=26_B10
26.B11,https://youtu.be/XR97mYDTCaA,http://yubio.dk/booklinks.html?id=26_B11
26.B12,https://youtu.be/Sg35wRBrWxg,http://yubio.dk/booklinks.html?id=26_B12
26.C1,https://youtu.be/SwTkQZf6JaY,http://yubio.dk/booklinks.html?id=26_C1
26.C2,https://youtu.be/m6h6J2dcRJQ,http://yubio.dk/booklinks.html?id=26_C2
26.C3,https://youtu.be/qQwuML08lVE,http://yubio.dk/booklinks.html?id=26_C3
26.C4,https://youtu.be/pB2nyQ6yJtY,http://yubio.dk/booklinks.html?id=26_C4
26.C5,https://youtu.be/Nrt2Le7QkK0,http://yubio.dk/booklinks.html?id=26_C5
26.C6,https://youtu.be/b8FFulDaTow,http://yubio.dk/booklinks.html?id=26_C6
26.C7,https://youtu.be/ybYI2YtWCaI,http://yubio.dk/booklinks.html?id=26_C7
26.D1,https://youtu.be/Y4kXi_bux3k,http://yubio.dk/booklinks.html?id=26_D1
26.D2,https://youtu.be/WRcUgQ8SYBc,http://yubio.dk/booklinks.html?id=26_D2
26.D3,https://youtu.be/GGky-frFFFM,http://yubio.dk/booklinks.html?id=26_D3
26.D4,https://youtu.be/qi1f1qZXd-0,http://yubio.dk/booklinks.html?id=26_D4
